metric,dataset,Random Forest,XGBoost,difference,better_model
accuracy,cv,0.9494505494505494,0.9494505494505494,0.0,tie
precision,cv,0.9454545454545454,0.9298245614035088,0.01562998405103666,Random Forest
recall,cv,0.9176470588235294,0.9352941176470588,-0.01764705882352946,XGBoost
f1_score,cv,0.9313432835820895,0.9325513196480938,-0.001208036066004281,XGBoost
roc_auc,cv,0.9847265221878225,0.9817750257997938,0.002951496388028718,Random Forest
mcc,cv,0.891606091065579,0.8921398948148902,-0.0005338037493112235,XGBoost
kappa,cv,0.891357383856735,0.8921300829768593,-0.0007726991201242317,XGBoost
